pair,doc_mix,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,delta_ndcg_ci90_low,delta_ndcg_ci90_high,delta_ndcg_ci95_low,delta_ndcg_ci95_high,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
HI-ID,ID docs,28.4534,29.1419,0.6885000000000012,70.0,0.27678533290341123,1.1350169629678848,0.21815077108495026,1.21868430510534,hi,id,mismatch,1,1,L-L,0.3624232869366617,0.3892494720807615,0.5,1.0,mono,L2 docs
HI-PT,HI + PT docs,28.6583,29.5106,0.8522999999999996,70.0,0.3073585646657319,1.4969559898913607,0.20769386099914772,1.6207318678922789,hi,pt,mismatch,1,1,L-L,0.2990538279850739,0.5124707431905383,0.5,0.8541666666666667,bi,L1+L2 docs
HI-PT,HI docs,26.7959,27.7036,0.907700000000002,30.0,0.41505809079331224,1.4804959510938571,0.32834463468207087,1.5859829926112388,hi,pt,mismatch,1,1,L-L,0.2990538279850739,0.5124707431905383,0.5,0.8541666666666667,mono,L1 docs
HI-PT,PT docs,28.7125,29.22,0.5075000000000003,70.0,0.1283845673097803,1.0241251638733055,0.06414193444172425,1.115456762701803,hi,pt,mismatch,1,1,L-L,0.2990538279850739,0.5124707431905383,0.5,0.8541666666666667,mono,L2 docs
HI-RU,HI + RU docs,27.3729,29.1728,1.7998999999999974,50.0,1.114232475888512,2.40606154409827,0.9969911216470193,2.5405085008400556,hi,ru,mismatch,1,1,L-L,0.2944174861200176,0.5318160234783105,1.0,0.75,bi,L1+L2 docs
HI-RU,HI docs,26.7959,27.6286,0.8326999999999991,30.0,0.33690102307879877,1.3786939461452195,0.24827508322534736,1.4875532314190996,hi,ru,mismatch,1,1,L-L,0.2944174861200176,0.5318160234783105,1.0,0.75,mono,L1 docs
HI-RU,RU docs,27.1639,28.191,1.0270999999999972,70.0,0.5211237649919228,1.525546525556599,0.42633027307254107,1.6284841704984192,hi,ru,mismatch,1,1,L-L,0.2944174861200176,0.5318160234783105,1.0,0.75,mono,L2 docs
HI-VI,HI + VI docs,26.9792,27.9593,0.9801000000000002,50.0,0.25960889886208055,1.83139400209033,0.12529348591003472,1.9658652397658212,hi,vi,mismatch,1,1,L-L,0.459408779130141,0.5173748811807234,0.5,1.0,bi,L1+L2 docs
HI-VI,HI docs,26.7959,26.8999,0.1039999999999992,30.0,-0.28792016152093924,0.6666674746951543,-0.3535547288045615,0.7765385264453989,hi,vi,mismatch,1,1,L-L,0.459408779130141,0.5173748811807234,0.5,1.0,mono,L1 docs
HI-VI,VI docs,26.1947,27.368,1.1732999999999976,70.0,0.6485254047388681,1.7076172922051485,0.539261183198371,1.8208262354088491,hi,vi,mismatch,1,1,L-L,0.459408779130141,0.5173748811807234,0.5,1.0,mono,L2 docs
HI-ZH,HI + ZH docs,27.1325,28.2912,1.1586999999999996,30.0,0.49375701848819104,1.6947581447415743,0.3858326695920859,1.8139693243095147,hi,zh,mismatch,1,1,L-H,0.3268109325016849,0.5595813731096785,0.75,1.0,bi,L1+L2 docs
HI-ZH,HI docs,26.7959,27.253,0.4571000000000005,30.0,-0.008189236379423677,1.0299868123671072,-0.08031294975796335,1.1431563836263758,hi,zh,mismatch,1,1,L-H,0.3268109325016849,0.5595813731096785,0.75,1.0,mono,L1 docs
HI-ZH,ZH docs,26.1669,26.5126,0.3457000000000008,90.0,0.13892550083167574,0.8695436649926424,0.08902390781084027,0.9836812171338672,hi,zh,mismatch,1,1,L-H,0.3268109325016849,0.5595813731096785,0.75,1.0,mono,L2 docs
ID-PT,ID + PT docs,28.9835,29.9055,0.9220000000000006,50.0,0.22497409869535262,1.3689628413596946,0.1277855322885386,1.4892596542378038,id,pt,match,1,1,L-L,0.2295575850444654,0.3956837835515331,0.0,1.0,bi,L1+L2 docs
ID-PT,ID docs,28.4534,29.0927,0.6393000000000022,30.0,0.2270060362319292,1.1100778020311297,0.16256871292922526,1.20016694929109,id,pt,match,1,1,L-L,0.2295575850444654,0.3956837835515331,0.0,1.0,mono,L1 docs
ID-PT,PT docs,28.7125,29.1483,0.4358000000000004,70.0,-0.016587952692935896,0.9710363032596226,-0.08042551030627619,1.0753258908799745,id,pt,match,1,1,L-L,0.2295575850444654,0.3956837835515331,0.0,1.0,mono,L2 docs
ID-RU,ID + RU docs,28.606,29.2,0.5939999999999976,50.0,0.1881237509278332,1.3795335692259418,0.12879005280513445,1.5226243838227485,id,ru,mismatch,1,1,L-L,0.2855117376556887,0.4438126822992972,1.0,1.0,bi,L1+L2 docs
ID-RU,ID docs,28.4534,28.8517,0.39830000000000254,30.0,0.10099540024246637,0.8708214296209416,0.047448891193227205,0.9647556323926946,id,ru,mismatch,1,1,L-L,0.2855117376556887,0.4438126822992972,1.0,1.0,mono,L1 docs
ID-RU,RU docs,27.1639,27.9239,0.759999999999998,70.0,0.2929706848355247,1.2465499957823034,0.21220499374995355,1.3401176098771987,id,ru,mismatch,1,1,L-L,0.2855117376556887,0.4438126822992972,1.0,1.0,mono,L2 docs
ID-VI,ID + VI docs,28.9004,29.2296,0.32920000000000016,30.0,0.04624674735156554,1.043456760298487,-0.0037879422925531825,1.2008055249954241,id,vi,match,1,0,L-L,0.2157168703811305,0.2562353715952691,0.0,1.0,bi,L1+L2 docs
ID-VI,ID docs,28.4534,28.757,0.303600000000003,10.0,0.09711372336457576,0.7224685630146667,0.051591438104020164,0.8090854009447741,id,vi,match,1,0,L-L,0.2157168703811305,0.2562353715952691,0.0,1.0,mono,L1 docs
ID-VI,VI docs,26.1947,27.6783,1.4835999999999991,70.0,0.9743972734135644,2.204729130930834,0.879548122824055,2.3493736407282046,id,vi,match,1,0,L-L,0.2157168703811305,0.2562353715952691,0.0,1.0,mono,L2 docs
ID-ZH,ID + ZH docs,28.4023,28.8187,0.41639999999999944,30.0,0.14260081105017783,1.0418952085594166,0.07178582615995392,1.1682581180846972,id,zh,mismatch,1,0,L-H,0.2976568988487735,0.3408249054303633,0.6666666666666667,1.0,bi,L1+L2 docs
ID-ZH,ID docs,28.4534,28.8224,0.3689999999999998,30.0,0.12333880844170332,0.8070091974014337,0.07665936051451556,0.8823172892315481,id,zh,mismatch,1,0,L-H,0.2976568988487735,0.3408249054303633,0.6666666666666667,1.0,mono,L1 docs
ID-ZH,ZH docs,26.1669,27.2517,1.0848000000000013,70.0,0.5975553847588142,1.6005733386354657,0.5028400664046664,1.6957217246068355,id,zh,mismatch,1,0,L-H,0.2976568988487735,0.3408249054303633,0.6666666666666667,1.0,mono,L2 docs
IT-AR,AR docs,24.5283,26.1164,1.5880999999999972,70.0,1.0170157344020958,2.3987669696775,0.8998673017603857,2.553864133711884,it,ar,mismatch,1,1,L-H,0.2683133624296667,0.497468338163091,1.0,1.0,mono,L2 docs
IT-AR,IT + AR docs,29.1156,29.4992,0.3835999999999977,30.0,0.13507355016537198,0.9151001217056677,0.07111267947645193,1.0305505060813804,it,ar,mismatch,1,1,L-H,0.2683133624296667,0.497468338163091,1.0,1.0,bi,L1+L2 docs
IT-AR,IT docs,28.9647,29.4038,0.4390999999999998,30.0,0.10037737670786805,0.9090226854106729,0.03757011125313447,1.0009599468460904,it,ar,mismatch,1,1,L-H,0.2683133624296667,0.497468338163091,1.0,1.0,mono,L1 docs
