pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
AR-PT,AR docs,embed,10.0,25.1138,34.7996,0.9034,23.6269,26.6006,23.3418,26.8857,20.7698,40.1449,bge-m3,mmarco-8841823-arabic-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260206-145507-agg.csv
AR-PT,AR docs,embed,30.0,26.0466,35.3476,0.9176,24.5364,27.5568,24.2467,27.8465,21.6806,41.0883,bge-m3,mmarco-8841823-arabic-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260206-145518-agg.csv
AR-PT,AR docs,embed,50.0,26.2575,35.5824,0.9237,24.7373,27.7778,24.4457,28.0694,21.9616,41.1669,bge-m3,mmarco-8841823-arabic-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260206-145531-agg.csv
AR-PT,AR docs,embed,70.0,24.6898,34.7482,0.902,23.2052,26.1744,22.9204,26.4592,20.5419,39.1678,bge-m3,mmarco-8841823-arabic-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260206-145543-agg.csv
AR-PT,AR docs,embed,90.0,20.8085,32.9078,0.8542,19.4025,22.2144,19.1328,22.4841,17.2666,33.3951,bge-m3,mmarco-8841823-arabic-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260206-145556-agg.csv
AR-PT,AR docs,embed,100.0,18.7961,32.2292,0.8366,17.4191,20.1731,17.155,20.4372,15.7124,29.6384,bge-m3,mmarco-8841823-arabic-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260206-145609-agg.csv
AR-PT,PT docs,embed,0.0,17.69,30.7852,0.7991,16.3747,19.0053,16.1224,19.2576,14.2781,29.3239,bge-m3,mmarco-8841823-portuguese-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260206-161842-agg.csv
AR-PT,PT docs,embed,10.0,19.9011,32.3073,0.8387,18.5208,21.2814,18.256,21.5462,16.2522,32.6932,bge-m3,mmarco-8841823-portuguese-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260206-161854-agg.csv
AR-PT,PT docs,embed,30.0,24.9444,34.6762,0.9002,23.4628,26.4259,23.1787,26.7101,20.5328,40.055,bge-m3,mmarco-8841823-portuguese-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260206-161907-agg.csv
AR-PT,PT docs,embed,50.0,28.1301,35.8195,0.9298,26.5997,29.6605,26.3062,29.954,23.2293,44.8619,bge-m3,mmarco-8841823-portuguese-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260206-161919-agg.csv
AR-PT,PT docs,embed,70.0,29.0111,36.2914,0.9421,27.4606,30.5617,27.1632,30.8591,24.0936,45.6705,bge-m3,mmarco-8841823-portuguese-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260206-161932-agg.csv
AR-PT,PT docs,embed,90.0,28.9314,36.0382,0.9355,27.3917,30.4712,27.0964,30.7665,23.8933,46.159,bge-m3,mmarco-8841823-portuguese-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260206-161944-agg.csv
AR-PT,PT docs,embed,100.0,28.7125,36.0092,0.9348,27.174,30.251,26.8789,30.546,23.7621,45.8895,bge-m3,mmarco-8841823-portuguese-ar-pt-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260206-161957-agg.csv
AR-RU,AR + RU docs,embed,0.0,24.7533,34.967,0.9077,23.2594,26.2473,22.9728,26.5339,20.6829,38.9319,bge-m3,mmarco-8841823-bilingual-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260202-215615-agg.csv
AR-RU,AR + RU docs,embed,10.0,25.3319,35.0076,0.9088,23.8362,26.8276,23.5493,27.1145,21.0367,40.2123,bge-m3,mmarco-8841823-bilingual-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260202-215628-agg.csv
AR-RU,AR + RU docs,embed,30.0,26.7065,35.6413,0.9252,25.1837,28.2293,24.8916,28.5213,22.2511,42.1552,bge-m3,mmarco-8841823-bilingual-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260202-215644-agg.csv
AR-RU,AR + RU docs,embed,50.0,28.122,36.146,0.9383,26.5776,29.6663,26.2814,29.9625,23.4056,44.1094,bge-m3,mmarco-8841823-bilingual-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260202-215655-agg.csv
AR-RU,AR + RU docs,embed,70.0,28.295,36.073,0.9364,26.7538,29.8362,26.4582,30.1318,23.4517,44.6485,bge-m3,mmarco-8841823-bilingual-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260202-215707-agg.csv
AR-RU,AR + RU docs,embed,90.0,27.8111,35.634,0.925,26.2887,29.3336,25.9967,29.6256,22.8347,44.6035,bge-m3,mmarco-8841823-bilingual-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260202-215718-agg.csv
AR-RU,AR + RU docs,embed,100.0,27.4368,35.5334,0.9224,25.9186,28.955,25.6274,29.2461,22.5008,44.1319,bge-m3,mmarco-8841823-bilingual-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260202-215730-agg.csv
AR-RU,AR docs,embed,0.0,24.5283,34.8336,0.9042,23.04,26.0165,22.7545,26.302,20.4433,38.7298,bge-m3,mmarco-8841823-arabic-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260206-171000-agg.csv
AR-RU,AR docs,embed,10.0,24.9988,34.7149,0.9012,23.5156,26.482,23.2311,26.7665,20.6784,40.0101,bge-m3,mmarco-8841823-arabic-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260206-171017-agg.csv
AR-RU,AR docs,embed,30.0,25.9028,35.4004,0.9189,24.3904,27.4153,24.1003,27.7054,21.621,40.8187,bge-m3,mmarco-8841823-arabic-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260206-171036-agg.csv
