src_lang,src_iso3,tgt_lang,tgt_iso3,lang2vec_knn,grambank,scripts,glot_tree
hi,hin,nl,nld,0.305095390556553,0.5504818825631803,0.5,0.8166666666666667
hi,hin,pt,por,0.29905382798507396,0.5124707431905383,0.5,0.8541666666666667
hi,hin,ru,rus,0.2944174861200176,0.5318160234783105,1.0,0.75
hi,hin,vi,vie,0.459408779130141,0.5173748811807234,0.5,1.0
hi,hin,zh,cmn,0.3268109325016849,0.5595813731096785,0.75,1.0
id,ind,it,ita,0.24658942504318226,0.4264014327112209,0.0,1.0
id,ind,ja,jpn,0.40463385447268563,0.42043748259126085,0.5,1.0
id,ind,nl,nld,0.2887171132750802,0.36237153766973934,0.0,1.0
id,ind,pt,por,0.22955758504446544,0.39568378355153316,0.0,1.0
id,ind,ru,rus,0.2855117376556887,0.44381268229929727,1.0,1.0
id,ind,vi,vie,0.21571687038113052,0.25623537159526916,0.0,1.0
id,ind,zh,cmn,0.29765689884877355,0.34082490543036337,0.6666666666666667,1.0
it,ita,ja,jpn,0.42528871404769086,0.5988203892536214,0.5,1.0
it,ita,nl,nld,0.17815275115572704,0.46056618647183833,0.0,0.8090909090909091
it,ita,pt,por,0.0922318235359002,0.23570226039551584,0.0,0.38636363636363635
it,ita,ru,rus,0.18385413047772747,0.5173748811807234,1.0,0.7424242424242424
it,ita,vi,vie,0.322023077941647,0.5222329678670935,0.0,1.0
it,ita,zh,cmn,0.37852115477984305,0.5817076915288627,0.6666666666666667,1.0
ja,jpn,nl,nld,0.37311687202449706,0.5550502752731576,0.5,1.0
ja,jpn,pt,por,0.3880235008947944,0.5945883900105632,0.5,1.0
ja,jpn,ru,rus,0.39390589740576565,0.5729597091269405,1.0,1.0
ja,jpn,vi,vie,0.4528445690284778,0.4767312946227962,0.5,1.0
ja,jpn,zh,cmn,0.3434134828341734,0.5173748811807234,0.75,1.0
nl,nld,pt,por,0.1689605506258801,0.4767312946227962,0.0,0.8375
nl,nld,ru,rus,0.24231511910455705,0.502518907629606,1.0,0.7333333333333334
nl,nld,vi,vie,0.3172616744404917,0.4714045207910317,0.0,1.0
nl,nld,zh,cmn,0.33795071460896164,0.5685352436149612,0.6666666666666667,1.0
pt,por,ru,rus,0.18130772695493413,0.5124707431905383,1.0,0.7708333333333334
pt,por,vi,vie,0.29310232920725654,0.5075192189225524,0.0,1.0
pt,por,zh,cmn,0.34747907311439064,0.5640760748177662,0.6666666666666667,1.0
ru,rus,vi,vie,0.3941966917484879,0.5458752586258128,1.0,1.0
ru,rus,zh,cmn,0.33704543625306216,0.6396021490668313,1.0,1.0
vi,vie,zh,cmn,0.3820224719101123,0.34815531191139565,0.6666666666666667,1.0
