qid,band,r_between_0_1,r,delta,delta_rel,p,d_axis,alpha,residual_norm,r2_local,cos_en,cos_zh,en_tokens,zh_tokens,cm_tokens,en_han,en_latin,zh_han,zh_latin,cm_han,cm_latin
156889,20-40,True,0.7911656253900222,0.23652027547359467,0.4200623940283293,0.4454736113548279,0.5630598664283752,0.20883432149123105,0.23652027547359467,0.1981774407614212,0.8728057742118835,0.9651159048080444,8,7,12,0,28,9,0,3,18
846082,20-40,True,0.16707087019150937,0.3452810049057007,0.3703866818043603,0.15574641525745392,0.9322176575660706,0.8329291010226407,0.3452810049057007,0.8349056937714167,0.9282621145248413,0.6389368176460266,15,9,19,0,42,11,0,6,39
1087915,20-40,True,0.308882446966493,0.29779088497161865,0.6587685064698947,0.13962776958942413,0.45204177498817444,0.6911176605452404,0.29779088497161865,0.5239506210578291,0.9459123611450195,0.9068589806556702,7,8,10,0,31,9,0,2,24
851490,20-40,True,0.04660402959346675,0.19459472596645355,0.24910147048648212,0.036406442523002625,0.781186580657959,0.9533960446896795,0.19459472596645355,0.9360962390757853,0.9804037809371948,0.7037177681922913,10,11,11,0,35,13,0,3,29
931147,20-40,True,0.13887761279449953,0.14729933440685272,0.402603380141861,0.05081075057387352,0.36586710810661316,0.8611224533869569,0.14729933440685272,0.8206223425122583,0.9878605604171753,0.939521312713623,10,6,9,0,27,11,0,3,22
390484,20-40,True,0.9795909400164661,0.26561087369918823,0.30981379098284345,0.8398270606994629,0.8573242425918579,0.020409120208061803,0.26561084389686584,0.004321019480585941,0.6120707392692566,0.9645724296569824,8,7,8,0,24,9,0,3,11
418032,20-40,True,0.7802490777532767,0.2178097367286682,0.5134919399787162,0.33096107840538025,0.42417362332344055,0.2197509078057004,0.2178097367286682,0.15479477960763466,0.9215118885040283,0.9719352722167969,10,13,13,0,37,9,13,3,27
1096527,20-40,True,0.863468754016899,0.2658929228782654,0.45364956125215683,0.5060960054397583,0.5861196517944336,0.13653128384397065,0.2658929228782654,0.08305507918142296,0.8365839719772339,0.9614486694335938,9,7,9,0,36,8,0,3,18
1039346,20-40,True,0.9305057018938597,0.20889748632907867,0.2644758595247536,0.7349642515182495,0.7898546457290649,0.06949430643038451,0.20889748632907867,0.06458488156011222,0.7080947756767273,0.9766745567321777,12,11,14,0,34,11,0,6,19
914321,20-40,True,0.9477203951107193,0.49528101086616516,1.3677615344357406,0.3431796431541443,0.3621106445789337,0.05227953447262884,0.49528101086616516,0.001458789847846531,0.8184621930122375,0.8771691918373108,15,13,19,0,55,15,3,10,41
1013229,20-40,True,0.8350572174896531,0.29915910959243774,0.5583912773120081,0.4473833739757538,0.5357517600059509,0.16494262976104768,0.29915910959243774,0.08025219299602393,0.8551760911941528,0.9513474702835083,13,8,12,0,42,11,0,5,19
436249,20-40,True,0.09061649553585009,0.12976834177970886,0.2818323836655352,0.04172392189502716,0.4604451060295105,0.9093835770006881,0.12976834177970886,0.9123689280260364,0.9907097816467285,0.9039164781570435,6,7,7,0,30,10,0,3,23
913509,20-40,True,0.4683384596738984,0.33189669251441956,0.4265861912015742,0.36438119411468506,0.7780296206474304,0.5316615585607922,0.33189669251441956,0.608350794679813,0.8785355091094971,0.8593698143959045,12,13,15,0,38,18,0,4,33
1022198,20-40,True,0.08090344828933756,0.1964133381843567,0.3787516193319787,0.04195497930049896,0.5185808539390564,0.9190964821155757,0.1964133381843567,0.854832957730757,0.9798308610916138,0.8671247959136963,21,16,22,0,76,20,0,6,52
160694,20-40,True,0.8888146513992154,0.22290068864822388,0.3456837380637179,0.5731174945831299,0.6448110342025757,0.11118538731681374,0.22290068864822388,0.09375290009094839,0.8109258413314819,0.9725877046585083,10,8,13,0,31,13,0,6,15
991138,20-40,True,0.11915161748152499,0.3313857614994049,0.37582272664180266,0.10506322979927063,0.881760835647583,0.8808483875206392,0.3313857614994049,0.8459959742942684,0.9395726919174194,0.6434621810913086,7,11,10,0,26,13,0,3,20
1102330,20-40,True,0.09365320707436163,0.1903625726699829,0.3563618786598134,0.05002798140048981,0.5341833233833313,0.9063468360442987,0.1903625726699829,0.8661050514911278,0.980629563331604,0.8646778464317322,8,8,10,0,28,11,0,3,31
1085980,20-40,True,0.05826993637706825,0.15127266943454742,0.23568941403902496,0.037399426102638245,0.641830563545227,0.9417300428160229,0.15127266943454742,0.9410555928476092,0.9878588914871216,0.8058898448944092,13,11,16,0,45,16,0,5,42
975040,20-40,True,0.503010154380613,0.24824874103069305,0.2959960444526103,0.42186927795410156,0.838689386844635,0.4969898548371625,0.24824874103069305,0.7381638552709145,0.8801995515823364,0.8823168277740479,10,11,17,0,34,10,0,6,31
